Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
11/18/22,5,5.1,4.7,4.8,7249572
11/17/22,5.1,5.3,4.9,5,9070158
11/16/22,5.4,5.4,5,5.1,12514296
11/15/22,5.8,5.8,5.6,5.6,3912262
11/14/22,5.9,5.9,5.6,5.7,8032840
11-11-22,5.8,6,5.7,5.8,6609798
11-10-22,5.8,6,5.8,5.8,7590070
11-09-22,5.9,5.9,5.7,5.8,4408504
11-08-22,6,6.1,5.8,5.8,4690305
11-04-22,6,6.2,5.9,5.9,4885911
11-03-22,6,6.2,5.9,6.1,16631082
11-03-22,6,6.2,5.9,6.1,16631082
11-02-22,6.2,6.3,6,6,6052833
11-01-22,6,6.3,6,6,6226067
10/31/22,6.3,6.3,5.9,6,9548438
10/28/22,6.7,6.8,6.1,6.3,12702563
10/27/22,6,6.8,5.9,6.6,23198150
10/26/22,6,6,5.8,5.9,7018336
10/25/22,6,6.1,5.8,5.9,9850652
10/21/22,6,6,5.9,6,6038287
10/20/22,6.1,6.1,5.9,5.9,6248687
10/19/22,6.1,6.3,5.9,6,12741151
10/18/22,6.2,6.2,5.9,6,6744870
10/17/22,6.5,6.5,6,6.1,5865220
10/14/22,6.7,6.8,6.2,6.3,7918569
10/13/22,6.4,6.7,6.3,6.5,7930102
10-12-22,6,6.4,5.9,6.2,11503406
10-11-22,6.4,6.5,5.9,6.1,18117426
10-07-22,6.5,6.6,6.2,6.3,16210356
10-06-22,6.9,6.9,6.5,6.6,10273679
10-05-22,7,7.1,6.7,6.8,12857653
10-04-22,7.2,7.2,6.8,6.9,13203489
10-03-22,7.5,7.7,7.1,7.3,10595313
9/30/22,7.6,7.7,7.5,7.5,6581451
9/29/22,7.7,7.7,7.5,7.6,4225866
9/28/22,7.8,7.8,7.6,7.7,4732270
9/27/22,7.9,7.9,7.7,7.8,5928576
9/26/22,7.9,7.9,7.7,7.8,6881561
9/23/22,7.7,7.9,7.5,7.7,10991971
9/22/22,7.6,8.2,7.6,7.9,22663586
9/21/22,7.6,7.8,7.5,7.6,11299598
9/20/22,7.7,7.8,7.5,7.6,9552393
9/19/22,8,8,7.7,7.7,11656888
9/16/22,7.9,7.9,7.7,7.8,6674039
9/15/22,8,8,7.7,7.9,13446033
9/14/22,7.9,8.3,7.8,7.9,32178865
9/13/22,7.9,7.9,7.6,7.7,14879592
