Trade_Date,Open,High,Low,Close,ShareVolume
1/2/2017,1.3,1.3,1.3,1.3,26800
1/3/2017,1.4,1.4,1.3,1.4,99705
1/4/2017,1.3,1.3,1.3,1.3,3000
1/5/2017,1.3,1.3,1.3,1.3,37201
1/6/2017,1.3,1.4,1.3,1.3,221616
1/9/2017,1.3,1.4,1.3,1.3,105178
1/10/2017,1.3,1.4,1.3,1.4,62822
1/11/2017,1.4,1.4,1.3,1.3,510121
1/13/2017,1.3,1.3,1.3,1.3,805700
1/16/2017,1.3,1.4,1.3,1.3,78076
1/17/2017,1.3,1.4,1.3,1.3,19600
1/18/2017,1.3,1.3,1.3,1.3,98250
1/19/2017,1.2,1.3,1.2,1.2,28471
1/20/2017,1.3,1.3,1.3,1.3,51569
1/23/2017,1.3,1.3,1.3,1.3,10093
1/24/2017,1.4,1.4,1.3,1.3,32001
1/25/2017,1.4,1.4,1.3,1.3,18176
1/26/2017,1.3,1.3,1.3,1.3,60476
1/27/2017,1.3,1.3,1.3,1.3,50000
1/30/2017,1.3,1.3,1.2,1.3,7615
1/31/2017,1.3,1.4,1.3,1.3,123803
2/1/2017,1.2,1.3,1.2,1.3,6800
2/2/2017,1.3,1.3,1.2,1.3,278834
2/3/2017,1.3,1.3,1.2,1.3,285766
2/6/2017,1.2,1.3,1.2,1.2,14900
2/7/2017,1.2,1.3,1.2,1.3,231087
2/8/2017,1.3,1.3,1.2,1.3,168884
2/9/2017,1.2,1.3,1.2,1.2,51076
2/13/2017,1.2,1.3,1.2,1.3,191596
2/14/2017,1.2,1.2,1.2,1.2,8100
2/15/2017,1.2,1.2,1.2,1.2,1300
2/16/2017,1.3,1.3,1.2,1.3,102200
2/17/2017,1.3,1.3,1.3,1.3,250000
2/20/2017,1.2,1.2,1.2,1.2,10001
2/21/2017,1.3,1.3,1.2,1.3,111173
2/22/2017,1.2,1.3,1.2,1.3,427415
2/23/2017,1.3,1.3,1.2,1.2,37600
