Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
11/18/22,599.75,599.75,580,584.5,760
11/17/22,596.5,600,595,595.75,700
11/16/22,600,600,596.5,599.75,170
11/15/22,609,609,599.75,605.5,208
11/14/22,599.75,600,599.75,583.75,36
11-11-22,610,610,580,583.75,1323
11-10-22,609.75,617,600,600,452
11-09-22,612.25,612.25,600,600,657
11-08-22,619.75,619.75,609,613,204
11-04-22,624,625,620,620,8065
11-03-22,638.25,660,620,623.75,1570
11-03-22,638.25,660,620,623.75,1570
11-02-22,645,645,632,638.25,3031
11-01-22,644.25,655,640,653.25,486
10/31/22,642,655,642,651,643
10/28/22,650,655,650,650,102
10/27/22,645.5,659.75,645,645,225
10/26/22,667,667,663,638.25,31
10/25/22,651,667,628,638.25,1539
10/21/22,668.5,670,649.5,651,4793
10/20/22,689.75,690,670.25,694.75,39
10/19/22,680,690,670,694.75,63
10/18/22,670,698.75,670,694.75,169
10/17/22,675,675,670,670.5,7
10/14/22,699,699,670,670.5,146
10/13/22,671,707,670,685.75,264
10-12-22,679.75,680,679,680,497
10-11-22,675,688.75,660,663,2699
10-07-22,682,690,675,677.5,160
10-06-22,694.5,694.5,682,688.75,3
10-05-22,685,695,684,688.75,101
10-04-22,685,688,650,680,433
10-03-22,710,710,690,691.75,387
9/30/22,714.75,714.75,700,706.5,133
9/29/22,693.5,715,685.5,691.5,179
9/28/22,694,725,693.75,698.25,1831
9/27/22,672.5,696.75,656,681.75,2044
9/26/22,699.5,699.5,670,694.5,679
9/23/22,685.25,695,667,694.5,422
9/22/22,670.75,685,666.5,684.5,51
9/21/22,685,685,671,684.5,2344
9/20/22,680,685,670,670.5,57
9/19/22,651,676.75,651,670.5,1054
9/16/22,660,665,650,659.5,1692
9/15/22,650,660,650,651.5,1965
9/14/22,650.5,657.5,650,650.25,16096
9/13/22,650,659,650,650.5,2216
09-12-22,638.75,658.25,638.75,650.25,6082
09-09-22,640,640,626,640,69
09-08-22,639.75,650,620,640,562
09-07-22,649,649,640,640,20365
09-06-22,633,648,632,642.5,115
09-05-22,630,649,630,630.25,1032
09-02-22,630,630,620,620.75,584
09-01-22,620,629.5,612,620.25,3894
8/31/22,617.75,617.75,610,617.75,93
8/30/22,620,620,607,617.75,105
8/29/22,620,625,620,620,49043
8/26/22,620,623.5,619.75,620.5,16222
8/25/22,619.75,621.25,619.75,619.75,29918
8/24/22,620,622.5,601,619.75,9182
8/23/22,605,622,602,619.75,7223
8/22/22,612,612,600,605.25,391
8/19/22,612,612,611,608,59
8/18/22,601,612,600,608,224
8/17/22,611,614,610,610,514
8/16/22,620,620,598.25,607.75,903
8/15/22,590,625,590,606,41428
08-12-22,585,590,579,585,16743
08-10-22,584.5,585,581,585,49773
08-09-22,575,585,575,585,1160
08-08-22,575,575,564,565.25,673
08-05-22,585,589,561,565.75,363
08-04-22,585,585,560,566.75,3844
08-03-22,585,585,578,583.75,143
08-02-22,585,585,565,565.5,2075
08-01-22,580,585.5,580,584.25,2023
7/29/22,582,590,581,585.25,36338
7/28/22,582,585,580,582,70
7/27/22,589,589,565.25,582,137
7/27/22,589,589,565.25,582,137
7/26/22,589.75,589.75,560,560,277
7/25/22,560,561,560,560,31409
7/22/22,580,580,555,560.25,345
7/21/22,598,598,560,573.75,280
7/20/22,585,599,559.5,564.25,1034
7/19/22,560,590,560,560.25,1064
7/18/22,550,550,540,540.75,2444
7/15/22,558.75,558.75,531,550,3777
7/14/22,590,590,550,555.25,7713
07-12-22,597.75,598,560,564.25,2507
07-11-22,597.75,597.75,566,561.75,13
07-08-22,565.75,565.75,560,561.75,142
07-07-22,575.25,598.5,560,565.5,1775
07-06-22,575.25,590,575,589.5,556
07-05-22,584.75,584.75,575,577,129
07-04-22,592.25,599.75,585,583,34
07-01-22,600,600,599.75,583,32
