Trade_Date,Open,High,Low,Close,ShareVolume,MA5,MA10,EMA20,MACD
1/2/2017,824.90,824.90,813.00,813.00,302.00,813.00,813.00,77.40,64.90
1/3/2017,810.00,813.00,810.00,813.00,6.00,813.00,813.00,147.50,60.10
1/4/2017,810.00,810.00,800.00,800.40,"2,792.00",808.80,808.80,209.70,54.60
1/5/2017,801.00,808.00,800.00,800.60,398.00,806.75,806.75,265.90,50.60
1/6/2017,809.00,825.00,809.00,810.00,"4,059.00",807.40,807.40,317.80,47.60
1/9/2017,809.00,821.00,808.00,812.70,100.00,807.34,808.28,364.90,44.30
1/11/2017,815.00,815.00,802.60,815.00,"1,641.00",807.74,809.24,407.80,41.20
1/13/2017,802.70,816.00,802.60,815.00,601.00,810.66,809.96,446.50,38.10
1/17/2017,812.00,815.00,810.00,815.00,"1,447.00",813.54,810.52,481.60,35.30
1/18/2017,815.00,817.50,815.00,815.00,360.00,814.54,810.97,513.40,32.70
1/20/2017,816.00,819.90,815.00,815.00,"62,560.00",815.00,811.17,542.10,30.30
1/23/2017,820.00,820.00,815.00,815.70,"1,445.00",815.14,811.44,568.20,28.10
1/24/2017,816.00,818.00,815.00,815.00,"3,788.00",815.14,812.90,591.70,25.90
1/25/2017,820.00,820.00,813.10,814.90,187.00,815.12,814.33,612.90,24.00
1/26/2017,813.10,813.10,810.00,814.90,88.00,815.10,814.82,632.20,22.20
1/27/2017,815.00,820.00,815.00,815.00,248.00,815.10,815.05,649.60,20.60
1/30/2017,820.00,825.00,820.00,815.00,4.00,814.96,815.05,665.30,19.10
1/31/2017,815.00,816.00,812.00,812.30,"1,497.00",814.42,814.78,679.30,17.40
2/1/2017,845.00,845.00,812.00,812.00,522.00,813.84,814.48,692.00,16.10
2/2/2017,815.00,816.00,812.00,815.10,"2,913.00",813.88,814.49,703.70,15.20
2/6/2017,815.00,815.00,812.10,812.10,"1,257.00",813.30,814.20,714.00,13.80
2/7/2017,815.00,820.00,815.00,815.00,"24,208.00",813.30,814.13,723.60,13.00
2/8/2017,830.00,874.00,815.20,815.00,4.00,813.84,814.13,732.30,12.10
2/9/2017,813.00,813.00,813.00,813.00,122.00,814.04,813.94,740.00,11.00
2/13/2017,812.10,820.00,811.00,820.00,"11,001.00",815.02,814.45,747.60,10.70
2/14/2017,824.50,825.00,812.10,824.80,908.00,817.56,815.43,755.00,10.30
2/15/2017,845.00,850.00,845.00,848.60,764.00,824.28,818.79,763.90,11.50
2/17/2017,830.00,845.90,810.10,830.20,272.00,827.32,820.58,770.20,9.20
2/20/2017,815.00,815.00,815.00,815.00,500.00,827.72,820.88,774.50,7.30
2/21/2017,815.10,820.00,812.10,812.70,"3,483.00",826.26,820.64,778.10,6.50
2/22/2017,820.00,839.90,815.00,815.10,"48,829.00",824.32,820.94,781.60,6.20
2/23/2017,817.00,817.00,815.10,815.30,100.00,817.66,820.97,784.80,5.80
2/27/2017,815.60,815.60,815.00,815.00,"1,600.00",814.62,820.97,787.70,5.30
2/28/2017,815.20,815.30,815.10,815.00,41.00,814.62,821.17,790.30,4.90
3/1/2017,815.30,834.00,815.30,820.00,"2,253.00",816.08,821.17,793.10,5.00
3/2/2017,820.00,824.90,820.00,820.00,"6,941.00",817.06,820.69,795.70,4.60
3/3/2017,829.90,829.90,816.20,816.20,"1,054.00",817.24,817.45,797.70,4.00
3/6/2017,820.00,825.00,820.00,822.00,"1,406.00",818.64,816.63,800.00,4.10
3/7/2017,826.00,826.00,825.00,825.00,138.00,820.64,817.63,802.40,4.10
3/8/2017,821.00,825.00,820.00,822.40,"2,151.00",821.12,818.60,804.30,3.60
3/9/2017,821.10,821.10,820.00,820.40,"1,030.00",821.20,819.13,805.80,3.10
3/10/2017,830.00,830.00,830.00,820.40,1.00,822.04,819.64,807.20,2.90
3/13/2017,835.00,835.00,820.10,820.10,511.00,821.66,820.15,808.40,2.70
3/14/2017,820.10,830.00,820.10,820.10,12.00,820.68,820.66,809.50,2.50
3/15/2017,830.00,830.00,830.00,820.10,1.00,820.22,820.67,810.50,2.30
3/16/2017,830.00,837.80,830.00,835.00,"18,283.00",823.14,822.17,812.90,3.30
3/17/2017,838.00,838.00,835.00,835.00,38.00,826.06,824.05,815.00,3.10
3/20/2017,839.00,873.00,839.00,839.60,382.00,829.96,825.81,817.30,3.20
3/22/2017,869.00,869.00,869.00,839.60,1.00,833.86,827.27,819.40,3.00
3/23/2017,850.00,850.00,850.00,839.60,1.00,837.76,828.99,821.40,2.70
3/24/2017,864.50,880.00,840.00,872.50,"52,690.00",845.26,834.20,826.20,5.20
3/27/2017,865.10,880.00,864.00,865.00,"1,223.00",851.26,838.66,829.90,4.20
3/28/2017,865.00,865.00,865.00,865.00,679.00,856.34,843.15,833.30,3.90
3/29/2017,828.10,873.90,828.10,865.00,"1,224.00",861.42,847.64,836.30,3.60
3/30/2017,870.00,870.00,870.00,870.00,"2,178.00",867.50,852.63,839.50,3.70
3/31/2017,870.00,871.00,860.00,870.90,"12,609.00",867.18,856.22,842.50,3.50
4/3/2017,869.80,870.00,865.00,865.00,"1,752.00",867.18,859.22,844.60,2.80
4/4/2017,865.00,889.90,865.00,880.00,"11,956.00",870.18,863.26,848.00,3.80
4/5/2017,873.00,873.00,870.00,870.10,464.00,871.20,866.31,850.10,2.70
4/6/2017,880.00,909.90,880.00,900.00,"5,113.00",877.20,872.35,854.90,4.90
4/7/2017,900.10,910.00,900.10,908.00,"16,819.00",884.62,875.90,859.90,5.20
4/11/2017,910.00,910.00,910.00,910.00,"1,689.00",893.62,880.40,864.70,4.90
4/12/2017,914.50,"1,010.00",914.50,999.20,"70,494.00",917.46,893.82,877.50,11.70
4/17/2017,940.00,"1,030.00",940.00,951.60,102.00,933.76,902.48,884.60,7.00
4/18/2017,940.00,989.00,940.00,948.30,126.00,943.42,910.31,890.60,6.20
4/20/2017,950.10,951.20,950.10,951.20,152.00,952.06,918.34,896.40,6.00
4/21/2017,975.00,975.00,952.20,960.00,"2,735.00",962.06,927.84,902.50,6.30
4/24/2017,961.00,979.90,961.00,963.30,"3,097.00",954.88,936.17,908.20,6.10
4/25/2017,970.00,970.00,965.40,963.30,36.00,957.22,945.49,913.50,5.60
4/26/2017,962.00,974.90,962.00,969.30,"6,187.00",961.42,952.42,918.80,5.70
4/27/2017,970.00,990.00,966.40,989.90,"36,993.00",969.16,960.61,925.60,6.90
4/28/2017,990.00,990.00,980.00,989.90,"25,056.00",975.14,968.60,931.70,6.40
5/2/2017,970.00,990.00,970.00,990.00,"65,862.00",980.48,967.68,937.30,5.90
5/3/2017,972.20,980.00,972.20,973.00,"57,111.00",982.42,969.82,940.70,4.10
5/4/2017,980.00,985.00,980.00,985.00,"40,000.00",985.56,973.49,944.90,4.80
5/5/2017,985.00,990.00,980.00,985.00,"14,321.00",984.58,976.87,948.70,4.40
5/8/2017,980.00,990.00,980.00,989.80,531.00,984.56,979.85,952.60,4.50
5/9/2017,990.00,990.00,980.00,989.80,49.00,984.52,982.50,956.20,4.20
5/12/2017,980.00,"1,000.00",979.90,996.80,"2,463.00",989.28,985.85,960.00,4.40
5/15/2017,"1,000.00","1,000.00",985.00,995.00,310.00,991.28,988.42,963.40,3.90
5/16/2017,999.00,999.00,988.00,990.50,517.00,992.38,988.48,965.90,3.30
5/17/2017,988.00,"1,010.00",988.00,"1,004.10","1,262.00",995.24,989.90,969.60,4.10
5/18/2017,999.90,"1,000.00",988.10,"1,004.10",17.00,998.10,991.31,972.90,3.80
5/19/2017,999.00,"1,004.10",990.00,"1,002.10","16,645.00",999.16,994.22,975.70,3.40
5/22/2017,988.10,988.20,970.00,"1,002.10",62.00,"1,000.58",995.93,978.20,3.10
5/23/2017,"1,017.00","1,017.00",980.00,996.70,"15,289.00","1,001.82",997.10,979.90,2.50
5/24/2017,976.10,976.10,976.10,996.70,10.00,"1,000.34",997.79,981.50,2.30
5/25/2017,990.00,990.00,990.00,990.00,100.00,997.52,997.81,982.30,1.60
5/30/2017,970.00,989.90,970.00,970.10,341.00,991.12,995.14,981.20,-0.10
5/31/2017,970.00,989.50,970.00,970.10,42.00,984.72,992.65,980.10,-0.10
6/1/2017,989.50,"1,000.00",989.50,999.90,"63,767.00",985.36,993.59,982.00,2.30
6/2/2017,"1,000.00","1,000.00",985.00,993.30,223.00,984.68,992.51,983.10,1.60
6/5/2017,999.50,"1,000.00",999.50,"1,000.00","14,445.00",986.68,992.10,984.70,2.00
6/6/2017,"1,000.00","1,000.00","1,000.00","1,000.00",7.00,992.66,991.89,986.10,1.80
6/7/2017,999.00,999.00,985.00,988.90,741.00,996.42,990.57,986.40,0.80
6/9/2017,988.00,990.00,976.00,976.20,930.00,991.68,988.52,985.40,-0.30
6/12/2017,990.00,990.00,990.00,990.00,"5,544.00",991.02,987.85,985.90,0.90
