Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
11/18/22,130.25,133,120,122.75,2104538
11/17/22,137.5,137.5,132,133,440398
11/16/22,140,140,129,132.75,3433678
11/15/22,149,155,140,142.25,1162976
11/14/22,155,156,146.5,148,953665
11-11-22,152.75,157,152.5,153.25,216512
11-10-22,155,157,151,152.25,486934
11-09-22,153,157,150,155,541871
11-08-22,166,166.5,150,153.5,1519280
11-04-22,165,170.5,162.5,165.75,942999
11-03-22,168,168,160.25,163,1407668
11-03-22,168,168,160.25,163,1407668
11-02-22,174.75,176.5,166,167.75,2443979
11-01-22,150.25,174.5,150.25,167,2993806
10/31/22,149,156.75,145,150.25,2452632
10/28/22,167,169.25,158,161.25,873448
10/27/22,169.75,169.75,163.5,165.75,912875
10/26/22,150,162.5,148.75,159.25,998275
10/25/22,150,154.75,146.25,148.75,1967615
10/21/22,148,153.5,147,148.75,631464
10/20/22,153.75,155,145,147,974638
10/19/22,155,159.75,153,154.5,257307
10/18/22,160,160,150.5,156.25,645183
10/17/22,165.75,166.75,158,160.75,758203
10/14/22,168,170,161,165.75,1398830
10/13/22,164.75,169.5,159,167.75,1524575
10-12-22,140,164.5,135,155,2596122
10-11-22,165,166,142,145,3577881
10-07-22,165,172,154,164.75,1690584
10-06-22,179.5,179.5,163.5,169,1208487
10-05-22,178,187,170,176.5,1055730
10-04-22,185,189.75,171,174.75,2501107
10-03-22,217.5,217.5,190,197.25,2510106
9/30/22,219.5,220,215,217.5,800779
9/29/22,224,224,218,219.25,797837
9/28/22,224,226.5,221,222.5,890139
9/27/22,225,226,223,224.75,11646195
9/26/22,221,225,220.25,223.75,9048842
9/23/22,224,224,220,221,1075949
9/22/22,227,227,222,224.25,2112645
9/21/22,225.5,228,224.75,226.5,5314238
9/20/22,225,229.75,221,224.75,12147168
9/19/22,226,226,221,223.25,1272697
9/16/22,227,228,225.5,226.75,8713800
9/15/22,228,228,225,226.25,4735922
9/14/22,225,230,225,227,3668700
9/13/22,230,230,224.75,225.75,1228393
09-12-22,239,239,228,230,1583068
09-09-22,235,243,235,237.5,2041614
09-08-22,221.25,232.25,221,228,5104362
09-07-22,218,222,216.5,220.75,11100227
09-06-22,221,223,213,216.5,1681698
09-05-22,220.25,224.25,220,221,3781657
09-02-22,223,224.75,218.5,219.75,3812117
09-01-22,220,225,219,221.25,2495738
8/31/22,218.25,221,215,216.75,2314634
8/30/22,214,220,210.5,218.75,1209744
8/29/22,215,218.75,210.5,214,1141026
8/26/22,222,222,210.25,216.75,2658504
8/25/22,218.75,222,209,212,1147151
8/24/22,225.5,227.25,219,220.75,1244603
8/23/22,233.5,236,226.5,229,1650427
8/22/22,230,235,226.5,231.25,2586027
8/19/22,215,224.25,206.5,216.75,2243038
8/18/22,217,217,207.5,211.75,1480952
8/17/22,219,219.75,209.25,211,1925115
8/16/22,225,225,210.5,219.75,3040961
8/15/22,235,237.25,221.5,225,2192791
08-12-22,228.75,233.75,225,227.25,3320548
08-10-22,205,225.5,203.75,218.75,6272716
08-09-22,203.5,203.75,193.25,195.25,2279412
08-08-22,210,210,201.5,203,1565327
08-05-22,212,212,201,204.5,2849168
08-04-22,206,215.5,206,209.25,4542351
08-03-22,180,200,176,192.25,3172963
08-02-22,168.5,178,167.5,174.75,1074886
08-01-22,172,174,166,168,1687371
7/29/22,176,178.75,174,175.25,839723
7/28/22,170,175.5,167.25,174.25,655852
7/27/22,170,170,167.25,168.25,430038
7/27/22,170,170,167.25,168.25,430038
7/26/22,172.25,175.5,169.5,170.25,571964
7/25/22,179,179,171.25,173,256393
7/22/22,178,180,176.25,177.5,265529
7/21/22,183,185,177.25,179.75,654244
7/20/22,180.5,183,180,180.25,628464
7/19/22,179.25,181,178,180,766449
7/18/22,181,182,177,178.75,764576
7/15/22,183,183,177,178.25,1319748
7/14/22,167.5,175.75,165,173.5,614743
07-12-22,179.75,187,176,179,1692661
07-11-22,170,178,165,174.25,1387673
07-08-22,163,164.25,160.25,163,584239
07-07-22,158,168,155.25,159.75,685112
07-06-22,160,166.5,155,158.25,1166283
07-05-22,169,171.5,160,162.25,740936
07-04-22,178,184,169,171.5,1001442
07-01-22,165,179.5,162,176.5,2512642
6/30/22,178,178,170.5,172.75,1410450
6/29/22,170,178.5,170,175.25,851465
6/28/22,170,173,159.25,169.75,1096500
6/27/22,188,188,174.5,177.25,1506524
6/24/22,189.5,194.75,189.5,192.25,1113087
6/23/22,182,188.25,178.25,185.75,2103311
6/22/22,170,175.25,169,172.25,1157597
6/21/22,169.5,172,164,168.25,1237019
6/20/22,151.5,166.5,150.75,161.5,1308920
6/17/22,173,173,158,160.5,2390912
6/16/22,173,179.75,172.5,174,525709
6/15/22,180.5,181,170.75,175.25,1174782
6/13/22,190,190,180,185,604724
06-10-22,199,200,190.25,191.75,515285
06-09-22,200,204.75,193.75,196.25,764097
06-08-22,192.5,202,185,194.75,938883
06-07-22,187,190,170,180.75,3021052
06-06-22,210,210.5,187,192.5,2533499
06-03-22,218,218,210,210.75,497028
06-02-22,209.5,218.75,205.25,214,752678
06-01-22,216,218.75,208,210.75,979335
5/31/22,222,222,212.5,216.25,1091265
5/30/22,226,228,221,222.75,698549
5/27/22,223,231,223,224.5,823157
5/26/22,227.75,227.75,218,223,1627394
5/25/22,229.5,235,219,228.75,1181984
5/24/22,242,243.25,229,232.75,2039895
5/23/22,236.75,242,228,239.5,4349264
5/20/22,202,226.5,200.25,219.5,4173416
5/19/22,227,227,200,203.25,3719118
5/18/22,233.5,237,213,219.5,4857025
5/17/22,200,224,198,219.75,3971150
5/13/22,185,198,182,194.25,4851211
05-12-22,160,175,154,172.5,2637403
05-09-22,154,167,154,158.75,2281351
05-06-22,159,159,145.5,148.5,1961724
05-05-22,162,165,155,159,1389949
05-04-22,169,170,149.25,164.75,2797863
4/29/22,185,189,159,169.5,6571815
4/28/22,155,187.75,127,171,9966998
4/27/22,90,150,90,143.75,5848510
4/26/22,100,105,97.8,99.3,1757201
4/25/22,130,132,120,122.25,602635
04-08-22,150,153.75,141,150,3167373
04-07-22,167,167,148,150.75,3378952
04-06-22,175,180,163,167,4042442
04-05-22,167,177.25,159.25,172.75,2007380
04-04-22,170,179,145.25,158.25,5663818
04-01-22,200,200,180,181.5,1962493
3/31/22,223,225,201,207.75,1684275
3/30/22,242,242,200,223,3858819
3/29/22,257.75,267,242,245.25,2148823
3/28/22,275,277,254,257.25,1405455
3/25/22,263,280.75,262,272.25,2212516
3/24/22,260,265.5,253,262.5,1137040
3/23/22,256,260,252,254.5,683861
3/22/22,260.5,263,254,255.25,555701
3/21/22,262,264,254,257.25,752273
3/18/22,255.5,264,252,259.5,1251953
3/16/22,256.25,260,238,251,4222769
3/15/22,275,275,252,256.25,1313978
3/14/22,281,282,271.25,273.25,914077
03-11-22,297,300,275,278.25,2773366
03-10-22,251,294,251,287.25,4892110
03-09-22,258,264,235.75,240.25,2068324
