Trade_Date,Open,High,Low,Close,ShareVolume
1/2/2017,6.3,6.3,6,6.1,25475
1/3/2017,6,6.1,6,6,126250
1/4/2017,6,6.1,6,6.1,375
1/5/2017,6.1,6.1,5.9,6,72850
1/6/2017,6,6.1,6,6,354109
1/9/2017,6.1,6.1,6,6,18005
1/10/2017,6.1,6.1,6,6,400
1/11/2017,6,6.2,6,6.1,53288
1/13/2017,6.1,6.2,6.1,6.2,7912
1/16/2017,6.1,6.2,6.1,6.1,5201
1/17/2017,6.2,6.2,6,6,782335
1/18/2017,6,6,6,6,34423
1/19/2017,6,6,5.9,5.9,50200
1/20/2017,6,6,5.9,6,12620
1/23/2017,6.1,6.1,5.9,5.9,18620
1/24/2017,5.9,6,5.9,6,17110
1/25/2017,6,6,5.9,5.9,5279
1/26/2017,6,6,5.9,5.9,16171
1/27/2017,5.9,6,5.9,5.9,7700
1/30/2017,6,6,5.9,5.9,625101
1/31/2017,5.9,6,5.8,6,21650
2/1/2017,5.9,6,5.8,5.8,26991
2/2/2017,6,6,5.9,5.9,1060
2/3/2017,6,6,5.6,5.7,196057
2/6/2017,6,6,5.7,5.8,9964073
2/7/2017,5.7,5.8,5.7,5.7,10025
2/8/2017,5.7,6,5.7,5.7,17410
2/9/2017,5.7,5.8,5.7,5.8,16427
2/13/2017,5.8,6,5.8,5.8,1013
2/14/2017,6,6,5.8,5.9,10750
2/15/2017,5.9,5.9,5.8,5.8,41665
2/16/2017,6,6,5.8,5.8,43925
2/17/2017,5.8,5.9,5.8,5.8,28838
2/20/2017,5.9,5.9,5.7,5.9,112922
2/21/2017,6,6,5.8,5.8,917
2/22/2017,6,6,5.7,5.8,21621
2/23/2017,5.8,5.8,5.7,5.8,439079
2/27/2017,5.6,6,5.6,6,113338655
2/28/2017,5.8,6,5.8,6,459555
3/1/2017,5.9,6,5.9,6,82588
3/2/2017,6,6,5.9,5.9,975
3/3/2017,5.9,6,5.9,6,56218
3/6/2017,6.1,6.1,6,6,5116439
3/7/2017,6,6.1,5.9,6,39111
3/8/2017,6.1,6.1,5.9,5.9,23561
3/9/2017,6.1,6.1,5.9,5.9,867836
3/10/2017,5.9,6,5.9,6,12270
3/13/2017,6,6,5.9,5.9,22101
3/14/2017,6,6,5.9,5.9,3800719
3/15/2017,5.9,6,5.9,5.9,142091
3/16/2017,5.9,6,5.9,5.9,206355
3/17/2017,6,6,5.9,6,4891214
3/20/2017,6,6,5.9,6,121800
3/21/2017,6,6.1,6,6,741772
3/22/2017,6,6.1,6,6,1231175
3/23/2017,6,6.1,6,6,207712
3/24/2017,6.1,6.1,6,6,93250
3/27/2017,6,6,6,6,7200
3/28/2017,6,6.1,6,6,90905
3/29/2017,6.1,6.1,6,6,454685
3/30/2017,6.1,6.1,6,6,29707
3/31/2017,6,6.1,6,6,266642
4/3/2017,6.1,6.1,6.1,6.1,86882
4/4/2017,6.2,6.2,6.2,6.2,13520
4/5/2017,6.2,6.5,6.2,6.5,1485460
4/6/2017,6.4,6.5,6.4,6.5,50050
4/7/2017,6.6,6.7,6.5,6.5,37647
4/11/2017,6.7,6.7,6.6,6.7,180250
4/12/2017,6.7,6.8,6.6,6.7,26850
4/17/2017,6.7,6.7,6.6,6.6,159564
4/18/2017,6.7,6.7,6.6,6.7,22428
4/19/2017,6.6,6.6,6.5,6.6,58400
4/20/2017,6.6,6.8,6.6,6.7,154124
4/21/2017,6.6,6.7,6.6,6.6,54044
4/24/2017,6.6,6.7,6.6,6.6,31869
4/25/2017,6.5,6.7,6.4,6.4,378190
4/26/2017,6.4,6.4,6.4,6.4,800
4/27/2017,6.4,6.6,6.3,6.6,2240000
4/28/2017,6.6,6.6,6.5,6.5,37665
5/2/2017,6.5,6.6,6.5,6.5,11701
5/3/2017,6.6,6.6,6.4,6.4,72258
5/4/2017,6.6,6.6,6.5,6.5,15205
5/5/2017,6.6,6.6,6.5,6.6,56974
