Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
11/18/22,173.5,173.5,162.75,164.25,541159
11/17/22,170,176.5,170,173.5,545906
11/16/22,175,175,164.5,168.75,1096864
11/15/22,185,187,173,175,537892
11/14/22,180,187,178.5,183.5,767599
11-11-22,175.5,185.5,175.5,179.5,871422
11-10-22,172,175,168,174,810184
11-09-22,168,173.75,163,171.25,305484
11-08-22,180,182.75,168,170.25,776324
11-04-22,180,186.5,179,180.75,822977
11-03-22,177.5,182.75,175,179,456077
11-03-22,177.5,182.75,175,179,456077
11-02-22,178,185,174.75,176.25,1088793
11-01-22,189,189.75,173.5,175.25,1334609
10/31/22,187,192,182.5,183.75,789211
10/28/22,205,205,188.25,191.5,704776
10/27/22,200,207,199,203.5,949250
10/26/22,176.5,198.75,176,194.5,1511223
10/25/22,194.75,199,174,176.75,2024269
10/21/22,199,205,187.75,191.75,1764356
10/20/22,215,215.25,198,200.75,1185979
10/19/22,218,221.75,214,216,421948
10/18/22,200,219.5,199,216,1666975
10/17/22,237,238,222.5,224.75,612362
10/14/22,240,246.5,234.75,236,1582049
10/13/22,220,239,214.5,236.75,2328056
10-12-22,205,218,194,213.5,2682281
10-11-22,227.25,230,208,212,1486785
10-07-22,222,233,211,227.25,2655133
10-06-22,243,245,219,229.5,2208498
10-05-22,248.75,251.75,228,240.5,2340514
10-04-22,260,260,227,236.25,5731534
10-03-22,280,285,268,273.75,2058635
9/30/22,284,290,281.5,288.75,905562
9/29/22,283,285.5,279.25,284.5,1286604
9/28/22,290,292,284.75,285.5,1039107
9/27/22,284,292,276,287,2394194
9/26/22,288.25,292,282,284.5,1622905
9/23/22,290,293,282,288.25,1370626
9/22/22,293,296,285.25,290.5,1219827
9/21/22,284,295,283,290.5,2774713
9/20/22,268.5,283,267.5,279.75,2798066
9/19/22,268,275,264.5,268.5,2339837
9/16/22,258,267,256,262.75,1116973
9/15/22,260,262,250,257.75,1559356
9/14/22,262,268.75,258,262.75,934031
9/13/22,251,264.5,240,260.5,1974434
09-12-22,242,251,242,248.75,2972712
09-09-22,225.75,239.75,222,234.75,2052948
09-08-22,229.25,231,225.5,227.25,1284396
09-07-22,230,233,223.5,228.5,2557986
09-06-22,207,228.25,207,223.25,5293519
09-05-22,200,205,193,202.25,2862721
09-02-22,199.75,201,193.5,197.25,2179750
09-01-22,186.5,195,186.5,192.5,3847200
8/31/22,171,182,171,179.25,2046281
8/30/22,164.75,170,160.25,168.5,554646
8/29/22,167.5,167.5,162.5,164.75,929058
8/26/22,169.5,171.5,162,167.75,1861529
8/25/22,176,176.5,167.25,170.5,2002263
8/24/22,180,183,176.25,179.5,2407826
8/23/22,180,183,174,179.5,2065070
8/22/22,182,185.75,174.75,178.25,1836189
8/19/22,190,190,179,181.25,2657828
8/18/22,190,193,185,188,3059349
8/17/22,190,193,180,186,5740953
8/16/22,173.5,184.75,165.25,178.75,8772674
8/15/22,174,175.25,158,167.25,6449776
08-12-22,149.5,173.5,149,172.5,8712989
08-10-22,139.25,146,135,144.75,4294352
08-09-22,141,147,134.5,138.75,14032883
08-08-22,115,135.5,109,131.25,12114256
08-05-22,120,122,110.5,113,10058919
08-04-22,100,110.5,99.5,108,4945002
08-03-22,102.25,103.75,97.1,99.1,2682028
08-02-22,93.1,101.25,93,99.7,6004475
08-01-22,91,93.5,88,89.3,4637077
7/29/22,85.1,91.8,85.1,90.1,3988345
7/28/22,83.3,85.5,80.5,84.9,1661927
7/27/22,82.5,83.4,79.9,81,1025119
7/27/22,82.5,83.4,79.9,81,1025119
7/26/22,82,84,81.5,82.2,505487
7/25/22,84.2,85.5,81,83.2,1201060
7/22/22,79,84.3,78.2,83.4,2090356
7/21/22,78,82.1,76.5,80.5,1917984
7/20/22,77.8,78.8,76.5,77.8,846483
7/19/22,76.9,77.8,75,77.1,1509243
7/18/22,73.5,77.7,72.5,76.1,2048783
7/15/22,74,75.4,72.6,73.3,833604
7/14/22,70,73,67.1,71.3,669461
07-12-22,75.4,75.4,71,71.9,1531455
07-11-22,75,75.4,72.6,74.3,1227453
07-08-22,74.1,76.6,72,74.2,622093
07-07-22,72.6,76.5,70.2,74.2,1710123
07-06-22,80,80.6,72.5,74.8,3572648
07-05-22,86,86,79.1,80.7,4017568
07-04-22,80,87.8,80,85.6,7278431
07-01-22,73.5,79.4,72.8,78.3,6771293
6/30/22,70,73.5,68.5,72.3,2531723
6/29/22,70,71,69.3,69.7,2907385
6/28/22,69,70.2,66,68.1,1060388
6/27/22,73,73.5,69.4,70.2,4084021
6/24/22,69.5,72.7,69,71.7,3398879
6/23/22,66.2,69.5,66.2,68.7,582601
6/22/22,69.9,70,66.1,66.9,638405
6/21/22,68.2,70.4,66.6,68.2,1661030
