Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
11/18/22,6.3,6.3,5.8,5.9,3400167
11/17/22,6.5,6.6,6.3,6.3,1437686
11/16/22,6.7,6.7,6.3,6.4,7292861
11/15/22,7.1,7.2,6.7,6.7,3186998
11/14/22,6.8,7.4,6.7,6.9,3683824
11-11-22,6.7,6.9,6.6,6.7,840173
11-10-22,6.6,6.8,6.6,6.6,702269
11-09-22,6.6,6.8,6.4,6.6,2781073
11-08-22,6.9,7,6.6,6.6,3094871
11-04-22,7,7,6.8,6.9,2276043
11-03-22,6.9,7,6.9,6.9,1333028
11-03-22,6.9,7,6.9,6.9,1333028
11-02-22,6.9,7.1,6.9,6.9,1342678
11-01-22,6.9,7.1,6.8,6.9,2365931
10/31/22,7,7,6.8,6.9,4694949
10/28/22,7.1,7.2,6.9,6.9,1246882
10/27/22,6.9,7.3,6.8,7.2,4097762
10/26/22,6.8,7,6.7,6.9,2339705
10/25/22,7,7.1,6.8,6.8,4437766
10/21/22,6.9,7.1,6.9,7,1657570
10/20/22,7,7.1,6.9,6.9,3241121
10/19/22,7.2,7.4,7,7,1945264
10/18/22,7.1,7.3,6.9,7,2252330
10/17/22,7.7,7.7,6.9,7.1,3408207
10/14/22,8,8.2,7.4,7.5,5166253
10/13/22,7.4,8,7.2,7.8,5259464
10-12-22,7,7.4,6.8,7.1,5032452
10-11-22,7.4,7.5,7,7.1,5261054
10-07-22,7.7,7.7,7,7.4,2068044
10-06-22,8.1,8.1,7.4,7.6,2596632
10-05-22,8,8.3,7.9,8,4466556
10-04-22,8.2,8.3,7.6,7.8,30062548
10-03-22,8.7,8.8,8.2,8.3,2751349
9/30/22,8.8,9.1,8.5,8.7,21238187
9/29/22,8.6,8.6,8.3,8.4,28096369
9/28/22,8.8,8.9,8.5,8.6,2626036
9/27/22,8.8,8.9,8.6,8.8,3547851
9/26/22,8.8,8.9,8.5,8.7,1824723
9/23/22,8.6,9,8.6,8.8,2368599
9/22/22,8.7,9.3,8.5,8.8,6299950
9/21/22,9,9,8.4,8.6,3109550
9/20/22,9,9.2,8.6,8.7,5431865
9/19/22,9.2,9.3,8.9,9,4127438
9/16/22,9.4,9.5,9,9.3,3706075
9/15/22,9.1,9.6,8.9,9.3,6331981
9/14/22,9.2,9.3,9,9.1,4957763
9/13/22,9.6,9.7,9.2,9.2,4940535
09-12-22,9.8,10,9.5,9.6,7412479
09-09-22,10.2,10.3,9.4,9.6,11759795
09-08-22,9.2,10.4,8.9,10,21265769
09-07-22,9.5,9.8,9,9.2,10089507
09-06-22,10.4,10.4,9.2,9.6,26542923
09-05-22,9.9,11.5,9.7,10.6,61719896
09-02-22,7.7,9,7.5,8.9,32709095
09-01-22,7.4,7.8,7.4,7.5,5778091
8/31/22,7.5,7.5,7.2,7.3,3748788
8/30/22,7.2,7.5,7,7.3,2852661
8/29/22,7.7,7.8,7,7.1,3979936
8/26/22,8,8,7.4,7.5,6483619
8/25/22,8.1,8.5,7.9,8,10848396
8/24/22,7.9,8.1,7.6,7.7,3475233
8/23/22,8.3,8.3,7.8,7.9,4016942
8/22/22,8.3,8.3,8,8.2,2758011
8/19/22,8.2,8.5,7.9,8.1,5452766
8/18/22,8.2,8.3,7.9,8,4985978
8/17/22,8.7,8.7,7.9,8,7778916
8/16/22,8.8,9,8.2,8.4,7617583
8/15/22,8.4,9,8.4,8.7,15942367
08-12-22,8.5,9,8.1,8.3,15838084
08-10-22,8.9,9,8.4,8.6,7008394
08-09-22,9,9.4,8.5,8.7,9849882
08-08-22,8.5,9,8.1,8.7,8778557
08-05-22,9.3,9.3,8.3,8.5,12286786
08-04-22,9,9.7,8.7,9.3,37284925
08-03-22,7.4,8.5,7.3,8.3,22122259
08-02-22,7,7.4,6.9,7.1,5496724
08-01-22,6.7,7.2,6.7,7,3609776
7/29/22,6.8,6.9,6.6,6.7,2896825
7/28/22,6.9,6.9,6.7,6.8,2740485
7/27/22,6.9,7.1,6.7,6.8,1582567
7/27/22,6.9,7.1,6.7,6.8,1582567
7/26/22,7,7.1,6.8,6.9,2273985
7/25/22,7.2,7.3,7,7.1,3136619
7/22/22,7.1,7.4,7.1,7.3,1978149
7/21/22,7.7,7.8,7.2,7.5,3798263
7/20/22,7.8,7.8,7.5,7.6,2831806
7/19/22,7.5,7.7,7.4,7.6,4139453
7/18/22,7.7,7.9,7.4,7.6,4111863
7/15/22,7.5,7.9,7.4,7.6,9194442
7/14/22,7,7.3,6.6,7.1,6645344
07-12-22,7.5,8,7.2,7.4,13932765
07-11-22,6.2,7.4,6.2,7.1,12202268
07-08-22,5.9,6.4,5.9,6.2,2733266
07-07-22,6,6.3,5.7,6,3541806
07-06-22,6.2,6.4,5.9,6,9925563
07-05-22,6.5,6.6,6.1,6.2,3702897
07-04-22,6.9,6.9,6.5,6.6,2641270
07-01-22,6.5,6.9,6.5,6.8,4190507
6/30/22,6.7,6.7,6.4,6.5,2442828
6/29/22,6.6,6.8,6.5,6.6,2413116
6/28/22,6.5,6.7,6.3,6.5,3273882
6/27/22,7.3,7.3,6.7,6.8,4029938
6/24/22,7.3,7.6,7.1,7.5,5740076
6/23/22,7,7.2,6.9,7,2683859
6/22/22,7.2,7.2,6.8,6.9,2006547
6/21/22,7.2,7.3,6.8,6.9,4573251
6/20/22,6.5,7.2,6.3,6.8,4436680
6/17/22,7.3,7.3,6.6,6.7,6269156
6/16/22,7.5,7.7,7.1,7.3,2040398
6/15/22,7.8,7.8,7.5,7.5,2343130
6/13/22,8.1,8.1,7.8,7.9,3657348
06-10-22,8.1,8.3,7.9,8.1,4634803
06-09-22,7.9,8.1,7.8,7.9,2953322
06-08-22,7.6,8,7.6,7.7,6257861
06-07-22,7.5,7.6,6.9,7.3,7500553
06-06-22,8.4,8.5,7.5,7.7,5463911
06-03-22,8.7,8.9,8.4,8.5,4430831
06-02-22,8.8,9,8.5,8.6,4037772
06-01-22,9,9.1,8.4,8.7,5963543
5/31/22,9.9,9.9,8.6,8.9,14951667
5/30/22,10,10,9.3,9.5,6839132
5/27/22,10.1,10.1,9.6,9.7,10181687
5/26/22,9.8,10.1,9.2,9.9,9800376
5/25/22,9.8,10.1,9.4,9.6,8192105
5/24/22,10.6,10.7,9.7,10,19352927
5/23/22,10,10.6,9.5,10.2,26453278
5/20/22,8.6,9.8,8.6,9.3,12262527
5/19/22,10,10.2,8.9,9.1,13910561
5/18/22,10.9,12,9,9.8,49538812
5/17/22,8.4,10.3,8.4,9.9,24912055
5/13/22,7.5,8.4,7.3,8,18153344
05-12-22,6.5,7.3,6.2,7.1,12419492
05-09-22,6,6.8,5.8,6.5,8553335
05-06-22,6,6.1,5.5,5.6,3607339
05-05-22,6.9,6.9,6,6.1,2651202
05-04-22,6.8,7,6,6.7,5735801
4/29/22,7,7.4,6.5,6.8,10627263
4/28/22,6.5,7.2,5.6,6.8,14092942
4/27/22,4.5,6.6,4.3,6.2,14181327
4/26/22,5.5,5.5,5,5,2499061
4/25/22,7,7,6.4,6.7,1012174
04-08-22,8,8.4,7.4,7.9,5707626
