Trade_Date,Open,High,Low,Close,ShareVolume
1/2/2017,2.5,2.6,2.5,2.6,54990
1/3/2017,2.6,2.6,2.4,2.5,201008
1/4/2017,2.6,2.7,2.4,2.6,2068199
1/5/2017,2.5,2.7,2.5,2.7,111910
1/6/2017,2.6,2.7,2.6,2.7,8130
1/9/2017,2.5,2.5,2.5,2.5,79000
1/10/2017,2.6,2.6,2.5,2.5,180391
1/11/2017,2.5,2.6,2.4,2.5,88324
1/13/2017,2.6,2.7,2.5,2.5,2792
1/16/2017,2.5,2.5,2.5,2.5,69198
1/17/2017,2.5,2.6,2.5,2.5,30570
1/18/2017,2.6,2.6,2.4,2.4,130210
1/19/2017,2.5,2.5,2.4,2.4,17352
1/20/2017,2.4,2.5,2.3,2.3,352023
1/23/2017,2.3,2.5,2.3,2.4,6700
1/24/2017,2.4,2.4,2.3,2.3,18610
1/25/2017,2.4,2.5,2.3,2.3,49601
1/26/2017,2.5,2.5,2.3,2.4,41018
1/27/2017,2.4,2.4,2.4,2.4,200
1/30/2017,2.5,2.5,2.4,2.4,740
1/31/2017,2.4,2.5,2.4,2.5,530
2/1/2017,2.4,2.5,2.3,2.4,6810
2/2/2017,2.4,2.4,2.4,2.4,200
2/3/2017,2.3,2.5,2.3,2.5,239589
2/6/2017,2.4,2.4,2.3,2.4,23626
2/7/2017,2.4,2.4,2.3,2.3,1625
2/8/2017,2.4,2.4,2.3,2.3,88100
2/9/2017,2.3,2.4,2.3,2.3,142490
2/13/2017,2.4,2.4,2.4,2.4,5200
2/14/2017,2.3,2.4,2.3,2.3,100251
2/15/2017,2.4,2.4,2.4,2.4,1300
2/16/2017,2.4,2.4,2.3,2.3,47362
2/17/2017,2.4,2.4,2.4,2.4,50100
2/20/2017,2.4,2.4,2.3,2.4,25389
2/21/2017,2.3,2.4,2.3,2.3,5700
2/22/2017,2.4,2.4,2.3,2.3,52101
2/23/2017,2.4,2.4,2.4,2.4,100
2/28/2017,2.4,2.4,2.3,2.4,6101
3/1/2017,2.3,2.4,2.3,2.3,4410
3/2/2017,2.4,2.4,2.2,2.3,3830
3/3/2017,2.3,2.3,2.2,2.2,50011
3/6/2017,2.2,2.2,2.2,2.2,111296
3/7/2017,2.2,2.2,2.1,2.1,5700
3/8/2017,2.1,2.2,2.1,2.1,18110
3/9/2017,2.2,2.2,2,2,125634
3/10/2017,2.1,2.2,2,2.1,19228
3/13/2017,2.1,2.2,2.1,2.1,3414
3/14/2017,2.1,2.1,1.9,1.9,434933
3/16/2017,1.9,1.9,1.9,1.9,5000
3/17/2017,2,2,1.9,2,3571
3/20/2017,1.9,2,1.9,1.9,242293
3/21/2017,2,2.2,2,2.1,115470
3/22/2017,2.1,2.2,2,2.1,104529
3/23/2017,2,2.1,2,2,60349
3/24/2017,2.1,2.2,2,2.1,13502
3/27/2017,2.1,2.2,2.1,2.1,16001
3/28/2017,2,2.2,2,2,208914
3/29/2017,2,2.2,2,2.1,57401
3/30/2017,2.1,2.2,2.1,2.2,33103
3/31/2017,2.2,2.2,2.1,2.2,52151
4/3/2017,2.2,2.3,2.1,2.3,195238
4/4/2017,2.3,2.6,2.3,2.5,726840
4/5/2017,2.5,2.8,2.5,2.7,409742
4/6/2017,2.7,2.7,2.5,2.6,169497
4/7/2017,2.6,2.8,2.6,2.7,883020
4/11/2017,2.7,2.8,2.7,2.7,44135
4/12/2017,2.7,2.8,2.6,2.7,501464
4/17/2017,2.8,2.8,2.6,2.6,217738
4/18/2017,2.7,2.7,2.6,2.6,183454
4/19/2017,2.7,2.7,2.6,2.6,106601
4/20/2017,2.7,2.8,2.7,2.7,207963
4/21/2017,2.7,2.8,2.6,2.7,429604
4/24/2017,2.7,2.7,2.6,2.7,553847
4/25/2017,2.7,2.7,2.7,2.7,33300
4/26/2017,2.6,2.7,2.6,2.7,15600
4/27/2017,2.6,2.7,2.6,2.7,26526
4/28/2017,2.7,2.8,2.7,2.7,192965
5/2/2017,2.7,2.8,2.7,2.7,163671
5/3/2017,2.7,2.7,2.6,2.6,22825
5/4/2017,2.6,2.8,2.6,2.7,83365
5/5/2017,2.8,2.8,2.8,2.8,555274
5/8/2017,2.8,2.8,2.8,2.8,171151
5/9/2017,2.8,2.9,2.7,2.8,209283
5/12/2017,2.7,2.8,2.7,2.7,34575
5/15/2017,2.7,2.8,2.7,2.7,14100
5/16/2017,2.8,3.3,2.8,3.2,2902662
5/17/2017,3.1,3.3,3.1,3.2,177737
5/18/2017,3.1,3.3,3.1,3.2,605293
5/19/2017,3.3,3.4,3.3,3.3,930297
5/22/2017,3.4,3.4,3.3,3.4,209374
5/23/2017,3.4,3.4,3.2,3.3,431368
5/24/2017,3.3,3.4,3.2,3.2,88935
5/25/2017,3.4,3.4,3.3,3.3,18442
5/26/2017,3.3,3.5,3.3,3.4,1463896
5/29/2017,3.4,3.5,3.3,3.3,336041
5/30/2017,3.4,3.4,3.3,3.4,237072
5/31/2017,3.4,3.4,3.3,3.4,421984
6/1/2017,3.4,3.6,3.4,3.5,1437478
6/2/2017,3.5,3.6,3.5,3.5,654622
6/5/2017,3.5,3.6,3.4,3.5,245500
6/6/2017,3.6,3.6,3.4,3.5,25610
6/7/2017,3.5,3.6,3.4,3.6,188885
6/9/2017,3.5,3.5,3.5,3.5,66351
6/12/2017,3.5,3.6,3.5,3.5,180642
6/13/2017,3.5,3.5,3.4,3.5,2812
6/14/2017,3.5,3.6,3.5,3.5,544778
6/15/2017,3.5,3.8,3.5,3.8,3406144
6/16/2017,3.6,3.9,3.6,3.8,17262
6/19/2017,3.8,3.9,3.7,3.8,332042
6/20/2017,3.7,3.7,3.6,3.6,107530
6/21/2017,3.7,3.8,3.7,3.8,44335
6/22/2017,3.7,3.8,3.7,3.7,81716
6/23/2017,3.7,3.8,3.6,3.7,124215
6/27/2017,3.7,3.7,3.6,3.6,6270
6/28/2017,3.8,3.8,3.7,3.7,6550
6/29/2017,3.7,3.8,3.7,3.7,207950
6/30/2017,3.8,4,3.7,3.9,1816577
7/3/2017,3.9,4.2,3.9,4.1,2762261
7/4/2017,4.1,4.2,4,4.1,679307
7/5/2017,4,4.1,4,4,168378
7/6/2017,4,4.1,4,4.1,193470
7/7/2017,4,4.1,4,4,301564
7/10/2017,4,4,3.9,4,154800
7/11/2017,4,4,3.9,3.9,248371
7/12/2017,3.9,3.9,3.8,3.9,229730
7/13/2017,3.8,3.9,3.8,3.8,265637
7/14/2017,3.9,4,3.8,3.9,82700
7/17/2017,3.9,3.9,3.8,3.8,79062
7/18/2017,3.9,4.1,3.9,4,1599703
7/19/2017,4,4.1,4,4,402715
7/20/2017,4,4.1,4,4,955911
7/21/2017,4,4.1,4,4,53250
7/24/2017,4,4,3.9,3.9,289898
7/25/2017,4,4,3.9,4,91954
7/26/2017,3.9,4.1,3.9,4,1499356
7/27/2017,4,4.2,4,4.1,652123
7/28/2017,4.2,4.2,4.1,4.1,13237
7/31/2017,4.2,4.2,4,4,370338
8/1/2017,4.1,4.1,4,4,123000
8/2/2017,4,4,4,4,50000
8/3/2017,4,4.1,4,4.1,226531
8/4/2017,4.1,4.1,4.1,4.1,50131
8/8/2017,4,4,3.9,3.9,124470
8/9/2017,3.9,3.9,3.9,3.9,67500
8/10/2017,4,4.1,4,4,925147
8/11/2017,4,4.1,4,4,45700
8/14/2017,4,4,3.9,3.9,86200
8/15/2017,4,4,3.9,3.9,19900
8/16/2017,4,4,3.8,3.8,244579
8/17/2017,3.8,4,3.8,3.9,547719
8/18/2017,4,4.1,3.9,4,1453280
8/21/2017,4.1,4.1,4,4,160917
8/22/2017,4,4,3.9,3.9,74540
8/23/2017,3.9,4,3.9,4,101065
8/24/2017,3.9,4,3.8,3.9,51601
8/25/2017,4,4,3.8,4,33780
8/28/2017,3.9,4,3.9,3.9,15433
8/29/2017,3.9,4,3.8,4,47691
8/30/2017,3.9,4,3.8,3.9,67110
8/31/2017,4,4,3.9,3.9,87335
9/4/2017,3.9,3.9,3.9,3.9,2465
9/6/2017,4,4,3.7,3.8,102056
9/7/2017,3.8,4.1,3.7,4,503915
9/8/2017,4,4,4,4,216494
9/11/2017,4,4.1,4,4,16906
9/12/2017,3.9,3.9,3.9,3.9,40163
9/13/2017,3.9,4,3.9,4,6501
9/14/2017,4,4,3.9,3.9,3254
9/15/2017,4,4,4,3.9,20
9/18/2017,3.9,4,3.9,3.9,16020
9/19/2017,4,4,3.9,3.9,15601
9/20/2017,3.9,4,3.9,3.9,17350
9/21/2017,3.9,3.9,3.8,3.8,22362
9/22/2017,3.8,3.9,3.8,3.9,10981
9/25/2017,3.8,3.8,3.7,3.8,52298
9/26/2017,3.9,3.9,3.9,3.9,1005
9/27/2017,3.9,4,3.9,4,48702
9/28/2017,4,4.1,3.9,4,137088
9/29/2017,4,4,3.8,3.9,57702
10/2/2017,4,4.2,3.9,4.1,2030172
10/3/2017,4,4.2,4,4,236587
10/4/2017,4,4.3,4,4.1,4844942
10/6/2017,4.2,4.2,4,4.1,552314
10/9/2017,4,4.1,4,4,92401
10/10/2017,4,4.1,3.9,3.9,165322
10/11/2017,4,4.3,4,4.2,7311715
10/12/2017,4.2,4.3,4.2,4.2,2545690
10/13/2017,4.3,4.3,4.1,4.1,214501
10/16/2017,4.1,4.2,4,4.1,527374
10/17/2017,4.1,4.1,4.1,4.1,28063
10/19/2017,4.1,4.1,4,4,295391
10/20/2017,4,4.1,4,4,201301
10/23/2017,4,4.1,3.9,4.1,768762
10/24/2017,4.1,4.2,4.1,4.1,221801
10/25/2017,4.1,4.1,4,4,287521
10/26/2017,4,4.1,4,4,243028
10/27/2017,4,4,3.9,3.9,111213
10/30/2017,4,4,3.9,3.9,311271
10/31/2017,4,4,3.9,3.9,17001
11/1/2017,3.9,4.2,3.9,4,298510
11/2/2017,4.1,4.1,4,4,35995
11/6/2017,4,4.1,4,4,83055
11/7/2017,4,4.1,4,4,181847
11/8/2017,3.9,3.9,3.9,3.9,10000
11/9/2017,3.9,4.1,3.9,4.1,2150
11/10/2017,3.9,3.9,3.9,3.9,800
11/13/2017,4,4,3.9,3.9,46602
11/14/2017,3.9,3.9,3.7,3.7,291415
11/15/2017,3.9,3.9,3.8,3.9,65391
11/16/2017,3.8,3.8,3.7,3.8,187577
11/17/2017,3.8,3.8,3.8,3.8,45938
11/20/2017,3.8,3.8,3.8,3.8,34750
11/21/2017,3.8,3.8,3.7,3.8,141200
11/22/2017,3.7,3.8,3.7,3.8,46300
