Trade_Date,Open,High,Low,Close,ShareVolume,MA5,MA10,EMA20,MACD
4/6/2017,9.1,9.1,9.1,9.1,100,9.1,9.1,9.1,0
5/3/2017,12,12,12,12,2000,10.6,10.55,9.4,0.2
5/4/2017,13,15,13,14.1,599,11.7,11.73,9.8,0.4
5/5/2017,16.5,17,16.5,16.5,110,12.9,12.93,10.5,0.5
5/8/2017,20,20,20,20,100,14.34,14.34,11.4,0.8
5/9/2017,22,22,17.1,20,4613,16.52,15.28,12.2,0.7
5/12/2017,17.2,18,17.2,17.2,102,17.56,15.56,12.7,0.4
5/15/2017,18,30.1,18,30.1,16287,20.76,17.38,14.3,1.4
5/16/2017,33.2,45.1,33.2,45.1,9004,26.48,20.46,17.3,2.5
5/17/2017,50,56.3,50,56.3,1272,33.74,24.04,21,3.2
5/18/2017,70,70.3,70,70.3,1147,43.8,30.16,25.7,4.1
5/19/2017,87.8,87.8,87,87.8,9469,57.92,37.74,31.6,5.2
5/22/2017,95,103.9,75,87.3,3568,69.36,45.06,36.9,4.8
5/23/2017,80,80,71,75.8,3434,75.5,50.99,40.6,3.5
5/24/2017,71.1,74.5,66,66.1,2554,77.46,55.6,43,2.5
5/25/2017,60.6,77,60.5,71.5,3834,77.7,60.75,45.7,2.7
5/26/2017,66,74.5,65,65.2,896,73.18,65.55,47.6,2
5/29/2017,74.8,74.8,64,65.2,18,68.76,69.06,49.3,1.9
5/30/2017,63,72.5,62.5,63.1,703,66.22,70.86,50.6,1.6
5/31/2017,71,71,63.5,64,218,65.8,71.63,51.9,1.5
6/2/2017,70,70,63,63.2,2327,64.14,70.92,52.9,1.3
6/5/2017,52.5,65,52.5,52.8,104,61.66,67.42,52.9,0.4
6/6/2017,55,55,55,55,100,59.62,64.19,53.1,0.6
6/9/2017,65.2,65.2,64.9,64.9,600,59.98,63.1,54.2,1.3
6/13/2017,64.6,64.6,58,64.9,52,60.16,62.98,55.3,1.2
6/14/2017,55,63.7,55,56.5,1999,58.82,61.48,55.4,0.5
6/15/2017,55.1,55.1,50.1,50.4,265,58.34,60,54.9,-0.1
6/16/2017,54.4,54.4,53,53,320,57.94,58.78,54.7,0.1
6/19/2017,50,50,50,53,5,55.56,57.77,54.6,0.1
6/20/2017,51,51,51,53,10,53.18,56.67,54.4,0.1
6/22/2017,51.9,51.9,43,44.8,2743,50.84,54.83,53.5,-0.5
6/23/2017,40.5,42,40.3,40.4,312,48.84,53.59,52.2,-0.9
6/27/2017,40.3,40.3,40.3,40.4,1,46.32,52.13,51.1,-0.8
6/28/2017,44.7,50.3,44.7,50,3769,45.72,50.64,51,0
6/29/2017,51.9,51.9,47.2,51.6,237,45.44,49.31,51.1,0.2
6/30/2017,51,51.5,47,47.4,1335,45.96,48.4,50.7,-0.2
7/3/2017,51,56,45.1,46.6,1758,47.2,48.02,50.3,-0.2
7/4/2017,47,48,46.1,46.3,467,48.38,47.35,49.9,-0.2
7/5/2017,48.8,48.8,46.5,46.3,44,47.64,46.68,49.6,-0.2
7/6/2017,46.1,47,42,43.1,792,45.94,45.69,49,-0.5
7/10/2017,44,44,43,43.1,100,45.08,45.52,48.4,-0.4
7/11/2017,43.4,43.4,43,43,878,44.36,45.78,47.9,-0.4
7/12/2017,42.7,42.7,40,41.4,611,43.38,45.88,47.3,-0.5
7/14/2017,40.6,40.6,40.6,40.6,266,42.24,44.94,46.6,-0.5
7/17/2017,40,40,40,40,100,41.62,43.78,46,-0.5
7/18/2017,41,42,41,40,87,41,43.04,45.4,-0.5
7/20/2017,40.2,42.8,40.1,41,1450,40.6,42.48,45,-0.4
7/21/2017,42,42,42,42,301,40.72,42.05,44.7,-0.3
7/24/2017,41.9,42,41.9,41.9,174,40.98,41.61,44.5,-0.3
7/25/2017,42,42.7,42,42.5,448,41.48,41.55,44.3,-0.2
7/26/2017,42,42,42,42,1000,41.88,41.44,44.1,-0.2
7/28/2017,42.4,42.4,42.4,42.4,160,42.16,41.38,43.9,-0.2
8/1/2017,42,42,42,42.4,6,42.24,41.48,43.8,-0.2
8/2/2017,42.5,42.5,42,42.1,122,42.28,41.63,43.6,-0.2
8/4/2017,41.5,41.5,41.5,42.1,3,42.2,41.84,43.5,-0.2
8/9/2017,41.5,41.5,41.5,41.5,751,42.1,41.99,43.3,-0.2
8/11/2017,41.3,41.5,41.3,41.4,1163,41.9,42.03,43.1,-0.2
8/17/2017,41.4,41.4,41.4,41.4,702,41.7,41.97,42.9,-0.2
8/25/2017,41.3,41.3,41.3,41.4,10,41.56,41.92,42.8,-0.2
8/31/2017,44,44,40,41.4,6,41.42,41.81,42.7,-0.1
9/4/2017,43.9,43.9,43.9,41.4,1,41.4,41.75,42.5,-0.1
9/6/2017,42.4,42.4,42.4,41.4,6,41.4,41.65,42.4,-0.1
9/7/2017,40.1,40.1,40,41.4,15,41.4,41.55,42.3,-0.1
9/8/2017,42.4,42.4,42.4,41.4,1,41.4,41.48,42.2,-0.1
9/11/2017,41.9,42,41.8,41.4,21,41.4,41.41,42.2,-0.1
9/12/2017,38.1,38.1,38,41.4,14,41.4,41.4,42.1,-0.1
9/13/2017,41.6,41.6,41.6,41.4,10,41.4,41.4,42,-0.1
9/14/2017,41.5,41.5,41,41.4,11,41.4,41.4,42,-0.1
9/18/2017,41.5,41.5,41.5,41.4,2,41.4,41.4,41.9,-0.1
9/19/2017,41.4,41.5,40,41.4,1041,41.4,41.4,41.9,-0.1
