Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
11/18/22,76.8,76.8,70,70.5,580319
11/17/22,70.3,77,70.3,76.1,1877360
11/16/22,73,73,68.1,70.3,339945
11/15/22,67,77,65,72.1,2553452
11/14/22,60,65.5,60,63.9,987028
11-11-22,57,62.5,55.1,59.7,102610
11-10-22,54.2,57.9,54.2,57,4144
11-09-22,55,57.9,55,57.3,24149
11-08-22,58.2,58.2,54.1,56.1,170638
11-04-22,58.4,60,58.2,58.3,25418
11-03-22,61,61,57,58.3,63211
11-03-22,61,61,57,58.3,63211
11-02-22,59.4,63,59.4,61,235778
11-01-22,60,62,57.4,59.4,65939
10/31/22,59,62.9,59,60.2,52954
10/28/22,61.4,64,60,61,184672
10/27/22,57.4,61.5,55.5,59.6,118054
10/26/22,55.6,57.2,55.6,56,57385
10/25/22,58,60,55,55.6,108482
10/21/22,56.2,60,55.6,58.9,116450
10/20/22,58.3,60,56.3,57.1,99707
10/19/22,62.9,63.5,58.3,58.6,328835
10/18/22,64,64.3,61,61.7,216667
10/17/22,70,72,63.7,65.5,995830
10/14/22,54,68,54,65.2,2235640
10/13/22,51.5,59.4,51,55.3,414392
10-12-22,50.4,52,48,50.6,170443
10-11-22,50,50.4,48,49.9,88339
10-07-22,50,50.5,49.7,50,208392
10-06-22,43.2,54,43,50.8,313639
10-05-22,43.2,44.5,43.2,44.4,25787
10-04-22,43.1,44,42.6,43,60212
10-03-22,44.8,44.8,44,44.3,2381
9/30/22,42.9,44.4,42.9,44.3,1867
9/29/22,43.6,44.5,42.6,43.8,144268
9/28/22,45,45,43.5,44,62326
9/27/22,44.2,45,43.2,43.6,9823
9/26/22,45.5,45.5,43.5,44.1,13833
9/23/22,45,45.5,44,45.1,102221
9/22/22,45.6,46.5,44.8,45,32646
9/21/22,45.5,46.9,45.5,45.8,7018
9/20/22,48.4,48.4,45,45.4,12581
9/19/22,47,47,45.2,46.2,10849
9/16/22,48,48,46,46.4,17233
9/15/22,49,49,47.3,48,12137
9/14/22,48.5,49,48.5,48.7,465
9/13/22,50,50,47,47.1,66811
09-12-22,50,50,46.9,48.3,32783
09-09-22,49.9,49.9,48,48.2,54350
09-08-22,52,52.8,49.6,50.4,80940
09-07-22,49.4,50,48.9,49,9702
09-06-22,51.4,51.4,49.3,49.5,27652
09-05-22,51.5,52.5,50.1,51.4,75743
09-02-22,51.4,51.5,48,49.5,43014
09-01-22,51,52,50,50.1,34893
8/31/22,53,53,49,50.1,33853
8/30/22,42.8,54,42.1,51.4,119609
8/29/22,42,45,42,43.8,17472
8/26/22,47.1,47.1,46,46.8,41865
8/25/22,50.2,50.2,48,48.6,68502
8/24/22,50,51.9,48.7,50.2,95127
8/23/22,58.5,58.5,50.1,52.3,297710
8/22/22,58.1,65.8,55,59.1,903994
8/19/22,49,52.7,49,52.7,136633
8/18/22,36,42.2,36,42.2,184539
8/17/22,34.7,36,33.5,33.8,76619
8/16/22,33.4,34.7,33.1,34.2,50258
8/15/22,34,34.7,33,33.2,36314
08-12-22,34,34.5,33,33.9,32580
08-10-22,33.1,34.9,33,33.7,13260
08-09-22,33,36.4,32.9,33.2,82637
08-08-22,36.5,36.9,32,33.3,68467
08-05-22,35.6,36.8,34.5,35.3,27023
08-04-22,36,37.5,35.6,36.6,30894
08-03-22,31,35,31,34.7,174643
08-02-22,31.8,32.5,31,32,44502
08-01-22,31.8,32,30,30.5,39266
7/29/22,32.5,32.5,30,31.1,65359
7/28/22,32,32.5,30.5,31.5,48459
7/27/22,32,32,30.9,31.9,36489
7/27/22,32,32,30.9,31.9,36489
7/26/22,31,32,30.5,30.7,1119
7/25/22,32.8,32.9,31,31,10398
7/22/22,32.8,32.8,31.1,32.2,912
7/21/22,33,33,31,32,9376
7/20/22,31.5,32,31,32,10385
7/19/22,30,31.5,30,30.9,24778
7/18/22,30,30,28.7,30,35946
7/15/22,31.4,31.4,29.5,30.1,16279
7/14/22,30.9,30.9,30.7,30.7,520
07-12-22,30.5,30.5,29.5,30.4,341
07-11-22,29.8,29.8,29.5,29.5,18656
07-08-22,29.8,29.8,29.6,29.6,1154
07-07-22,29.6,29.6,29.3,29.6,5559
07-06-22,30,30,29.2,29.9,11492
07-05-22,31,31,29.1,29.5,10551
07-04-22,30,31,29.6,30,4573
07-01-22,31,31,30,30,21588
6/30/22,29.6,31,29.6,30,31178
6/29/22,31,31,29.5,30,158498
6/28/22,31,31,28.7,29.4,15891
6/27/22,31.5,31.5,30.1,30.3,3739
6/24/22,31.5,31.5,29.9,30,30166
6/23/22,32,32,30.6,31.4,2883
6/22/22,32,32,30.2,30.6,11618
6/21/22,32,32,31,31.5,15143
6/20/22,33,33,31.8,32,37369
6/17/22,33.4,33.4,31.6,31.8,9471
6/16/22,33.7,33.7,32,32.1,9577
6/15/22,33.2,33.7,32,33,2529
6/13/22,33.6,33.6,32,32.1,16321
06-10-22,33.9,35,31.8,32.2,42492
06-09-22,33.4,33.4,32,32.9,3376
06-08-22,31.8,32.6,31.8,32.5,6669
06-07-22,32,33.5,31.6,31.8,14806
06-06-22,33.5,33.5,31.6,32.4,6722
06-03-22,34.8,34.8,33.1,33.5,2281
06-02-22,33,33.9,32.9,33.4,1971
06-01-22,35,35,33.2,33.6,2898
5/31/22,33.5,35,33,34.2,26611
5/30/22,33.3,33.5,33,33.5,5413
5/27/22,34.6,34.6,33,33,40100
5/26/22,33,34.7,32,32.6,113193
5/25/22,35,35,33,33,67424
5/24/22,37,37,33,33.4,34455
5/23/22,36.9,38,34,34.1,85384
5/20/22,36.1,36.1,34,34.3,87162
5/19/22,36.2,37,36,36,10453
5/18/22,38,38,36.2,37,19858
5/17/22,37.6,38,37,37.8,9381
5/13/22,37.9,37.9,37.4,37.6,14949
05-12-22,38.6,38.6,36,37.4,11072
05-09-22,36.5,38.6,36.5,37.1,4114
05-06-22,39,39,36.5,36.7,34370
05-05-22,39.5,40,37.5,39,89785
05-04-22,39.7,40,38,38.4,2771
4/29/22,39.7,40,38,38.6,3738
4/28/22,36.9,39.8,36,37.7,46243
4/27/22,33,36.9,32.5,35.6,30611
4/26/22,33,33,30.5,31,22287
4/25/22,33.5,33.5,30,31.1,8872
04-08-22,39,39,35,35,7095
04-07-22,37.3,39.9,35,35.8,6328
04-06-22,39,39,37.3,38.1,5073
04-05-22,38.6,39,36,38.7,54307
04-04-22,34,37,33,34.6,15852
04-01-22,34,34,34,34,222
3/31/22,36,36,33.5,34.9,19208
3/30/22,38,39,35,36,198944
3/29/22,39.5,39.9,37.1,38.1,29156
3/28/22,41.1,41.1,38.5,39.9,62082
3/25/22,43,43.3,40.4,42.5,10032
3/24/22,43.9,43.9,41.5,42.9,13469
3/23/22,41.5,43.3,41.5,42.3,8109
3/22/22,43.5,43.5,41.2,43,11188
3/21/22,44,44,42.3,43,9439
3/18/22,42,44.4,41.8,43,19586
3/16/22,40,42,39.9,41.8,30824
3/15/22,42,42,40,40.1,16181
3/14/22,43.9,43.9,40.6,41.3,3017
03-11-22,42.2,44.8,40,42,171182
03-10-22,45,46.9,41.1,43.7,33736
03-09-22,47.2,47.2,41,41.2,37487
03-08-22,44,47.5,42,44.3,67474
03-07-22,45.9,47.5,43,45.5,30447
03-04-22,46,46,44,45.1,30396
03-03-22,45.5,48.5,45.5,47.1,28167
03-02-22,48,48,45.5,46.1,31287
2/28/22,44.9,48,43,47.2,55644
2/25/22,41.5,45,40,44.6,61006
2/24/22,45.5,47,39.5,40,84749
2/23/22,49.1,49.1,44.6,46.1,52144
2/22/22,45.1,51,45.1,49.7,27190
2/21/22,50.1,50.1,47,47.1,45712
2/18/22,52.7,54,50,51.1,46368
2/17/22,54,54.1,52,52.1,88428
2/15/22,56.2,56.9,53,53.6,23366
2/14/22,54,58,54,56.4,117310
02-11-22,52,54,50.5,53,46799
02-10-22,52,53,50,52,55597
02-09-22,52.5,55,50,51.4,78599
02-08-22,55.1,55.1,52.5,53.2,36236
02-07-22,55,57.9,55,55,33176
02-03-22,55,58,51,57.1,89787
02-02-22,59.5,60,55,55.5,335399
02-01-22,62,62.5,59,59.9,353279
1/31/22,55,63,55,60.5,1031970
1/28/22,55,55,50.1,53.2,125904
1/27/22,53.5,61.1,51,52.6,679975
1/26/22,52.4,54.9,49.2,52.8,123418
1/25/22,55,55,50.1,51,343660
1/24/22,58,59.7,53.8,54.3,259168
1/21/22,62.2,62.2,57.9,58.4,122801
1/20/22,64.5,65.9,60,61,195104
1/19/22,55.8,65,55.8,62.3,515230
1/18/22,70,70,60,61,758838
1/13/22,68.5,68.5,60,66.7,3008934
01-12-22,45.5,54.8,44.8,54.8,3031271
01-11-22,45,45.5,43.7,43.9,174621
01-10-22,41.5,45.5,41.5,45,121686
01-07-22,40.5,42,40.5,41.6,106690
01-06-22,39.9,40.6,39.5,40.3,463565
01-05-22,37.8,39.5,37.8,39.4,29840
01-04-22,38.9,39,38,38.8,20532
01-03-22,38.8,39,38.1,38.8,14216
12/31/21,39.4,39.4,38.7,38.8,3774
12/30/21,39,40.7,37.8,39.5,34889
12/29/21,38.3,41,37.7,37.8,62542
12/28/21,37,38.4,37,38.4,17757
12/27/21,37.3,37.9,37,37,15583
12/24/21,37,38.5,37,37,102
12/23/21,38,38.7,38,38.1,5332
12/22/21,36.1,39,36.1,38.1,14772
12/21/21,38.3,38.3,36.5,37.8,25764
12/20/21,38.7,40,37.6,38.3,29333
12/17/21,38,38.5,38,38.3,15617
12/16/21,38.5,38.5,37.3,37.4,5795
12/15/21,38.9,38.9,37.1,38,8751
12/14/21,38.5,38.6,37.1,38.4,21414
12/13/21,37.6,38,37.1,37.9,20054
12-10-21,38.6,38.8,37.8,37.9,16260
12-09-21,37.9,38.9,37.2,38.1,17211
12-08-21,37,37.9,36.6,37.6,72235
12-07-21,39.9,39.9,36.5,37,11996
12-06-21,36,40,36,37,40116
12-03-21,36,37,36,36.9,2008
12-02-21,36,37,35.7,36,21142
12-01-21,36.3,37,36,36,6517
11/30/21,36.1,36.9,36.1,36.5,4410
11/29/21,37.2,38,36.2,36.7,40073
11/26/21,36.2,37.2,36.2,37,5162
11/25/21,36.4,37,36,36.5,45796
11/24/21,35.5,37,35.5,35.9,31182
11/23/21,35.9,35.9,35,35.2,21448
11/22/21,36.8,36.8,36,36,3322
11/19/21,37.1,37.1,36,36.5,5484
11/17/21,35.9,37.6,35,37,45830
11/16/21,35.5,37,35.5,36.5,51985
11/15/21,35.5,36.1,35.5,36,24818
11-12-21,36.6,36.9,36.1,36.4,6570
11-11-21,36,36.6,36,36.1,5730
11-10-21,36.9,36.9,35.7,36.1,6230
11-09-21,35.8,36.1,35.8,36,7181
11-08-21,36.6,36.6,35.8,36,8340
11-05-21,36.6,36.6,36.5,36.5,12980
11-03-21,37,37,36.2,36.4,1842
11-02-21,35.9,37,35.9,36.1,1186
11-01-21,37,37.5,35.6,35.9,2288
10/29/21,36.9,37.4,36,37,6168
10/28/21,36,36.9,36,36.5,6895
10/27/21,36.1,36.5,35.9,36.4,25527
10/26/21,37,37,36.1,36.2,2213
