Trade_Date,Open,High,Low,Close,ShareVolume
1/2/2017,35,35,35,35,2000
1/3/2017,35,35.7,35,35.1,1293
1/4/2017,35.8,35.8,35.8,35.1,1
1/5/2017,35.8,35.8,35,35,1085
1/6/2017,35.8,35.8,35,35,629
1/9/2017,35,35,34,34.9,18750
1/11/2017,35.5,36,35,35.8,6200
1/13/2017,36.3,36.7,36,36.5,5518
1/16/2017,36.4,36.4,35.4,36.4,5018
1/17/2017,36.4,36.6,35,35.9,5952
1/19/2017,35.9,36,35.4,35.4,3908
1/23/2017,34.2,35.8,34.2,35.3,2506
1/24/2017,34.3,35.5,34.3,34.4,1080
1/25/2017,34.6,35.4,34.6,34.9,250
1/26/2017,34.2,34.5,34.2,34.3,1021
1/27/2017,34.4,35,34.3,35,1500
1/30/2017,35.4,35.4,35.3,35.3,3006
1/31/2017,35,36,35,36,14695
2/2/2017,34.3,36,34.3,35.4,1500
2/3/2017,35,35,34,34.1,3327
2/6/2017,34,35,34,34,520
2/7/2017,35.4,35.4,34,35.2,1567
2/8/2017,35.9,36,35.9,35.9,1000
2/9/2017,35,35,35,35,1400
2/13/2017,34.5,35.5,34.5,35.1,4002
2/14/2017,35.5,35.5,34.2,34.6,2115
2/15/2017,34.2,34.2,34.1,34.1,1583
2/16/2017,34.2,34.2,34.1,34.1,1299
2/17/2017,34.1,34.1,34,34,961
2/20/2017,33.8,33.8,33.8,33.8,6002
2/21/2017,34,34,34,34,1753
2/22/2017,34.9,34.9,33,33.6,1185
2/23/2017,34.7,34.7,34.7,33.6,5
2/28/2017,34.6,34.6,34.6,34.6,520
3/1/2017,33.1,34.4,33,33.6,5701
3/2/2017,34.4,35,34.4,34.9,4428
3/3/2017,34.9,34.9,33,33.2,3701
3/6/2017,34,34.1,34,34,1333
3/7/2017,34,35.5,34,35.4,38200
3/8/2017,35.3,35.5,35.3,35.4,2900
3/9/2017,35.4,35.8,34.9,34.9,2020
3/10/2017,34.7,34.7,34.7,34.9,50
3/13/2017,35,35,35,35,280
3/14/2017,34.7,34.7,34,34.7,151
3/15/2017,34,34,34,34,500
3/16/2017,34,34,33,33.1,5200
3/17/2017,34.2,34.3,34.2,34.2,212
3/20/2017,34.3,34.3,34.3,34.2,68
3/21/2017,34.2,34.2,33.4,34.1,3417
3/22/2017,33.4,33.7,32.9,33.1,17312
3/23/2017,33,33,32.1,32.8,1628
3/24/2017,33,33,32.1,32.5,6027
3/27/2017,33,33,32.1,32.3,2805
3/28/2017,33.3,33.3,32.1,32.8,2450
3/29/2017,33.5,33.5,32.1,33,10902
3/30/2017,33.4,33.4,32.1,32.6,5034
3/31/2017,33.7,33.7,32.6,33.3,2200
4/3/2017,33.7,33.7,33,33.1,303
4/4/2017,33,33,33,33,2133
4/5/2017,33,33.5,32.5,33.4,14423
4/6/2017,33.5,33.7,33.5,33.6,1300
4/7/2017,33.9,34.8,33,33.4,2318
4/11/2017,34,34,33,33.5,9278
4/12/2017,33.5,33.9,33.5,33.8,2867
4/17/2017,33.5,34,33.5,33.9,6300
4/18/2017,33.9,34.5,33.5,34.3,19165
4/19/2017,34.4,35.7,34.2,35,17282
4/20/2017,35.5,35.9,33.6,34.9,13232
4/21/2017,34.3,35.6,34.3,35.5,1721
4/24/2017,35,35.5,33.9,35.1,3105
4/25/2017,35.4,35.4,34.3,35.3,2251
4/26/2017,34.3,35.5,34.3,35.3,2635
4/27/2017,35.3,35.5,35.3,35.4,2626
4/28/2017,35.5,35.5,35.3,35.3,2165
5/2/2017,35.5,35.5,34.6,35.5,1212
5/3/2017,35.4,35.5,35.1,35.2,4704
5/4/2017,34.7,35.3,34.5,34.8,9972
5/5/2017,34.5,35,34.5,34.7,3540
5/8/2017,35,35.9,35,35.6,24957
5/9/2017,35,36,35,35,10950
5/12/2017,35,35,34.4,34.5,5261
5/15/2017,35,35,34,34.1,907
5/16/2017,33.9,34.9,33.6,34.9,2108
5/17/2017,34.5,34.5,33.9,34,23780
5/18/2017,34,34,33.8,33.8,2802
5/19/2017,33.9,33.9,33.8,33.9,14582
5/22/2017,33.9,33.9,33.9,33.9,818
5/23/2017,33.9,33.9,33.8,33.9,3452
5/24/2017,33.9,33.9,33.8,33.9,8107
5/25/2017,33.5,33.5,33,33.4,6840
5/26/2017,33,33.4,33,33,1309
5/29/2017,33,33,32.5,33,1755
5/30/2017,33.3,33.3,32.8,32.9,261
5/31/2017,32.7,33,32.5,33,8276
6/1/2017,33,33,32.9,33,1458
6/2/2017,32.9,33,32.5,33,8717
6/5/2017,33,33,32.5,32.5,841
6/6/2017,32.4,32.5,32.4,32.4,984
6/7/2017,32.4,32.5,32.4,32.5,21878
6/9/2017,32.2,32.8,31.5,32,3361
6/12/2017,32,32,31.6,31.9,13436
6/13/2017,31.9,31.9,31,31.1,17782
6/14/2017,31,32.8,30.9,31,36164
6/15/2017,31.5,32.6,30.8,31.9,17328
6/16/2017,32.6,32.9,31,31.7,6037
6/19/2017,32.6,32.7,31.2,31.5,1669
6/20/2017,32.5,32.5,31.5,32.2,1200
6/21/2017,32.5,32.8,31.2,32.6,8136
6/23/2017,31.6,32,31.6,32,2885
6/27/2017,32,32.4,31.5,32,1240
6/28/2017,32,32,31.6,31.8,2169
6/29/2017,31.6,31.6,31.6,31.8,10
6/30/2017,31.9,32,31.6,32,5000
7/3/2017,31.9,31.9,31,31.4,5389
7/4/2017,31,31.5,30.8,31.5,6700
7/5/2017,30.9,31.3,30.8,30.9,3430
7/6/2017,31.4,31.4,31.4,30.9,85
7/7/2017,31.4,31.4,31,31.3,558
7/10/2017,31.3,32.5,31.3,31.8,125092
7/11/2017,32.5,32.5,32,32,201
7/12/2017,32.5,32.8,32,32.3,8911
7/13/2017,32,32.3,32,32.3,3940
7/14/2017,32.3,32.3,32,32,1673
7/17/2017,32,32.3,32,32.1,25109
7/18/2017,32.3,32.3,32.1,32.1,1900
7/19/2017,32,32,31.8,31.8,1095
7/20/2017,32,32,31.8,31.9,2200
7/21/2017,31.9,31.9,31.6,31.6,3300
7/24/2017,31.6,31.9,31.6,31.9,245
7/25/2017,31.6,32,31.6,31.8,805
7/26/2017,32,32,31.9,31.9,1200
7/27/2017,31.8,32,31.5,31.9,2343
7/28/2017,32,32.4,32,32,12000
7/31/2017,32,32,31.8,31.8,3179
8/1/2017,32,32.4,31.7,31.8,8411
8/2/2017,31.6,31.6,31.4,31.5,765
8/3/2017,31.5,31.5,31.2,31.3,270
8/4/2017,31.3,31.5,31.3,31.4,808
8/8/2017,31.2,31.8,31.2,31.3,11099
8/9/2017,31.7,31.8,31.7,31.8,4140
8/10/2017,31.5,32,31.4,31.9,4170
8/11/2017,31.8,32,31,31.6,6052
8/14/2017,31.8,31.8,31,31,1832
8/15/2017,30.9,30.9,30.1,30.3,22974
8/16/2017,31,31,30,30.1,4503
8/17/2017,30.5,30.5,30,30,4239
8/18/2017,30,30.9,30,30.8,1982
